Number,Name,Calories,Proteins,Carbs,Fats
01198,KRAFT BREYERS LT NONFAT STR'BERY YOGURT (W/ASPRT&FRUCT SW'T),55,3.4,9.9,0.2
01199,"CREAM,HALF & HALF,FAT FREE",59,2.6,9,1.4
01200,REDDI WIP FAT FREE WHIPPED TOPPING,149,3,25,5
02001,"ALLSPICE,GROUND",263,6.1,72.1,8.7
02002,ANISE SEED,337,17.6,50,15.9
02003,"SPICES,BASIL,DRIED",251,14.4,61,4
02004,"SPICES,BAY LEAF",313,7.6,75,8.4
02005,CARAWAY SEED,333,19.8,49.9,14.6
02006,"SPICES,CARDAMOM",311,10.8,68.5,6.7
02007,CELERY SEED,392,18.1,41.3,25.3
02008,"CHERVIL,DRIED",237,23.2,49.1,3.9
02009,CHILI POWDER,314,12.3,54.7,16.8
02010,"CINNAMON,GROUND",261,3.9,79.8,3.2
02011,"CLOVES,GROUND",323,6,61.2,20.1
02012,"CORIANDER LEAF,DRIED",279,21.9,52.1,4.8
02013,CORIANDER SEED,298,12.4,55,17.8
02014,CUMIN SEED,375,17.8,44.2,22.3
02015,CURRY POWDER,325,12.7,58.2,13.8
02016,DILL SEED,305,16,55.2,14.5
02017,"DILL WEED,DRIED",253,20,55.8,4.4
02018,FENNEL SEED,345,15.8,52.3,14.9
02019,FENUGREEK SEED,323,23,58.3,6.4
02020,GARLIC POWDER,332,16.8,72.7,0.8
02021,"GINGER,GROUND",347,9.1,70.8,5.9
02022,"MACE,GROUND",475,6.7,50.5,32.4
02023,"MARJORAM,DRIED",271,12.7,60.6,7
02024,"MUSTARD SEED,YELLOW",469,24.9,34.9,28.8
02025,"NUTMEG,GROUND",525,5.8,49.3,36.3
02026,ONION POWDER,347,10.1,80.7,1
02027,"SPICES,OREGANO,DRIED",306,11,64.4,10.3
02028,PAPRIKA,289,14.8,55.7,12.9
02029,"PARSLEY,DRIED",276,22.4,51.7,4.4
02030,"PEPPER,BLACK",255,10.9,64.8,3.3
02031,"PEPPER,RED OR CAYENNE",318,12,56.6,17.3
02032,"PEPPER,WHITE",296,10.4,68.6,2.1
02033,POPPY SEED,533,18,23.7,44.7
02034,POULTRY SEASONING,307,9.6,65.6,7.5
02035,PUMPKIN PIE SPICE,342,5.8,69.3,12.6
02036,"ROSEMARY,DRIED",331,4.9,64.1,15.2
02037,SAFFRON,310,11.4,65.4,5.8
02038,"SAGE,GROUND",315,10.6,60.7,12.8
02039,"SAVORY,GROUND",272,6.7,68.7,5.9
02041,"SPICES,TARRAGON,DRIED",295,22.8,50.2,7.2
02042,"SPICES,THYME,DRIED",276,9.1,63.9,7.4
02043,"TURMERIC,GROUND",354,7.8,64.9,9.9
02044,"BASIL,FRESH",27,2.5,4.3,0.6
02045,"DILL WEED,FRSH",43,3.5,7,1.1
02046,"MUSTARD,PREPARED,YELLOW",66,4,7.8,3.1
02047,"SALT,TABLE",0,0,0,0
02048,"VINEGAR,CIDER",14,0,5.9,0
02049,"THYME,FRSH",101,5.6,24.5,1.7
02050,VANILLA EXTRACT,288,0.1,12.6,0.1
02051,"VANILLA EXTRACT,IMITN,ALCOHOL",237,0.1,2.4,0
02052,"VANILLA EXTRACT,IMITN,NO ALCOHOL",56,0,14.4,0
02053,"VINEGAR,DISTILLED",12,0,5,0
02054,"CAPERS,CANNED",23,2.4,4.9,0.9
02055,"HORSERADISH,PREPARED",48,1.2,11.3,0.7
02063,"ROSEMARY,FRESH",131,3.3,20.7,5.9
02064,"PEPPERMINT,FRESH",70,3.8,14.9,0.9
02065,"SPEARMINT,FRESH",44,3.3,8.4,0.7
02066,"SPEARMINT,DRIED",285,19.9,52,6
03002,"BABYFOOD,MEAT,BF,STR",107,13.6,0,5.4
03003,"BABYFOOD,MEAT,BEEF,JUNIOR",106,14.5,0,4.9
03005,"BABYFOOD,MEAT,VEAL,STR",101,13.5,0,4.8
03007,"BABYFOOD,MEAT,PORK,STR",124,14,0,7.1
03008,"BABYFOOD,MEAT,HAM,STR",111,13.9,0,5.8
03009,"BABYFOOD,MEAT,HAM,JUNIOR",125,15.1,0,6.7
03010,"BABYFOOD,MEAT,LAMB,STR",103,14.1,0.1,4.7
03011,"BABYFOOD,MEAT,LAMB,JUNIOR",112,15.2,0,5.2
03012,"BABYFOOD,MEAT,CHICK,STR",93,11.8,1.5,4.1
03013,"BABYFOOD,MEAT,CHICK,JR",149,14.7,0,9.6
03014,"BABYFOOD,MEAT,CHICK STKS,JR",188,14.6,1.5,14.4
03015,"BABYFOOD,MEAT,TURKEY,STR",114,14.3,0.1,5.8
03016,"BABYFOOD,MEAT,TURKEY,JR",127,15.4,0,7.1
03017,"BABYFOOD,MEAT,TURKEY STKS,JR",182,13.7,1.4,14.2
03021,"BABYFOOD,MEAT,MEAT STKS,JR",184,13.4,1.1,14.6
03041,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",48,2,7.7,0.9
03042,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",48,2.1,8,0.8
03043,"BABYFOOD,DINNER,BF LASAGNA,TODD",77,4.2,10,2.1
03044,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",61,2.4,9.4,1.5
03045,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",59,2.5,9.4,1.1
03046,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",99,3.6,16.3,2.2
03047,"BABYFOOD,DINNER,BF NOODLE,STR",63,2.4,8.2,2.3
03048,"BABYFOOD,MACARONI&CHS,TODD",83,3.5,11.2,2.6
03049,"BABYFOOD,DINNER,BF&RICE,TODD",82,5,8.8,2.9
03050,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",68,2.6,11.4,1.4
03051,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",75,5.3,10.8,1
03052,"BABYFOOD,DINNER,BF STEW,TODD",51,5.1,5.5,1.2
03053,"BABYFOOD,DINNER,VEG&BF,STR",63,2.6,7.7,2.4
03054,"BABYFOOD,DINNER,VEG&BF,JR",62,2.3,9,1.9
03055,"BABYFOOD,DINNER,BF W/VEG",96,2,6.4,6.9
03059,"BABYFOOD,DINNER,VEG&BACON,STR",71,1.9,8.8,3
03061,"BABYFOOD,DINNER,VEG&HAM,STR",59,2.2,7.8,2.1
03062,"BABYFOOD,DINNER,VEG&HAM,JR",60,2,8.6,1.9
03066,"BABYFOOD,DINNER,VEG&LAMB,STR",52,2,6.9,2
03067,"BABYFOOD,DINNER,VEG&LAMB,JR",51,2.1,7.1,1.7
03068,"BABYFOOD,DINNER,CHICK NOODLE,STR",66,2.7,9.1,2.1
03069,"BABYFOOD,DINNER,CHICK NOODLE,JR",55,2.4,8.8,1.2
03070,"BABYFOOD,DINNER,CHICK SOUP,STR",50,1.6,7.2,1.7
03072,"BABYFOOD,DINNER,CHICK STEW,TODD",78,5.2,6.4,3.7
03073,"BABYFOOD,DINNER,VEG CHICK,STR",59,2.5,8.4,1.7
03075,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",63,2,7.9,2.5
03076,"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",64,1.7,9.1,2.2
03077,"BABYFOOD,DINNER,PASTA W/VEG",60,1.7,8.4,2.1
03079,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",44,1.2,6.8,1.2
03081,"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",52,1.8,7.6,1.5
